School_Name,Address,Phone_Number,Charter_Type,Grade_Levels,SQRP_Rating,School_Profile_URL
"Academy for Global Citizenship","4647 W 47Th St, Chicago, IL 60632","(773) 582-1100","Charter","K - 8","Level 2+","https://www.incschools.org/school/academy-for-global-citizenship/"
"ACE Amandla Charter School","6820 S Washtenaw Ave, Chicago, IL 60629","(773) 535-7150","Charter","9 - 12","Not Applicable","https://www.incschools.org/school/ace-amandla-charter-school/"
"ACERO Schools - Jovita Idar","5050 S Homan Ave, Chicago, IL 60632","(312) 455-5450","Charter","K - 8","Level 2+","https://www.incschools.org/school/acero-schools-jovita-idar/"
"ACERO Schools - Major Hector P Garcia MD Campus","4248 W 47Th St, Chicago, IL 60632","(773) 579-3480","Charter","9 - 12","Level 1","https://www.incschools.org/school/acero-schools-major-hector-p-garcia-md-campus/"
"ACERO Schools - Bartolome de las Casas","1641 W 16Th St, Chicago, IL 60608","(312) 432-3224","Charter","K - 8","Level 1","https://www.incschools.org/school/acero-schools-bartolome-de-las-casas/"
"ACERO Schools - Brighton Park Campus","4420 S Fairfield Ave, Chicago, IL 60632","(312) 455-5434","Charter","K - 8","Level 1","https://www.incschools.org/school/acero-schools-brighton-park-campus/"
"ACERO Schools - Carlos Fuentes Campus","2845 W Barry Ave, Chicago, IL 60618","(773) 279-9826","Charter","K - 8","Level 1","https://www.incschools.org/school/acero-schools-carlos-fuentes-campus/"
"ACERO Schools - Esmeralda Santiago Campus","2510 W Cortez St, Chicago, IL 60622","(312) 455-5410","Charter","K - 8","Level 1","https://www.incschools.org/school/acero-schools-esmeralda-santiago-campus/"
"ACERO Schools - Officer Donald J Marquez Campus","2916 W 47Th St, Chicago, IL 60632","(773) 321-2200","Charter","K - 8","Level 1+","https://www.incschools.org/school/acero-schools-officer-donald-j-marquez-campus/"
"ACERO Schools - PFC Omar E. Torres Campus","4248 W 47Th St, Chicago, IL 60632","(773) 579-3475","Charter","K - 8","Level 1","https://www.incschools.org/school/acero-schools-pfc-omar-e-torres-campus/"
"ACERO Schools - Roberto Clemente Campus","2050 N Natchez Ave, Chicago, IL 60707","(312) 455-5425","Charter","K - 8","Level 2+","https://www.incschools.org/school/acero-schools-roberto-clemente-campus/"
"ACERO Schools - Rufino Tamayo Campus","5135 S California Ave, Chicago, IL 60632","(773) 434-6355","Charter","K - 8","Level 1+","https://www.incschools.org/school/acero-schools-rufino-tamayo-campus/"
"ACERO Schools - Sandra Cisneros Campus","2744 W Pershing Rd, Chicago, IL 60632","(773) 376-8830","Charter","K - 8","Level 1","https://www.incschools.org/school/acero-schools-sandra-cisneros-campus/"
"ACERO Schools - SPC Daniel Zizumbo Campus","4248 W 47Th St, Chicago, IL 60632","(773) 579-3470","Charter","K - 8","Level 1","https://www.incschools.org/school/acero-schools-spc-daniel-zizumbo-campus/"
"ACERO Schools - Victoria Soto Campus","5025 S Saint Louis Ave, Chicago, IL 60632","(312) 455-5446","Charter","8 - 11","Level 2+","https://www.incschools.org/school/acero-schools-victoria-soto-campus/"
"Alain Locke Elementary Academy","3141 W Jackson Blvd, Chicago, IL 60612","(773) 265-7232","Charter","K - 8","Level 2+","https://www.incschools.org/school/alain-locke-elementary-academy/"
"Art in Motion","7415 S East End Ave, Chicago, IL 60649","","Charter","N/A","Inability to Rate","https://www.incschools.org/school/art-in-motion/"
"ASPIRA - Business and Finance","2989 N. Milwaukee Ave, Chicago, IL 60618","(773) 252-0970","Charter","9 - 12","Level 2+","https://www.incschools.org/school/aspira-business-and-finance/"
"ASPIRA - Early College","3986 W Barry Ave, Chicago, IL 60618","(773) 252-0970","Charter","9 - 12","Level 2+","https://www.incschools.org/school/aspira-early-college/"
"ASPIRA - Haugan Middle School","3729 W Leland Ave, Chicago, IL 60625","(773) 252-0970","Charter","6 - 8","Level 1","https://www.incschools.org/school/aspira-haugan-campus/"
"Betty Shabazz International Charter School","7823 S Ellis Ave, Chicago, IL 60619","(773) 651-1221","Charter","K - 8","Not Applicable","https://www.incschools.org/school/betty-shabazz-international-charter-school/"
"Betty Shabazz International Charter School Barbara A. Sizemore Campus","6547 S Stewart Ave, Chicago, IL 60621","(773) 651-1661","Charter","K - 8","Not Applicable","https://www.incschools.org/school/betty-shabazz-international-charter-school-barbara-a-sizemore-campus/"
"Bronzeville Academy Charter School","4930 S Cottage Grove Ave, Chicago, IL 60615","(773) 285-8400","Charter","K - 8","Not Applicable","https://www.incschools.org/school/bronzeville-academy-charter-school/"
"Cambridge Lakes Charter School","900 Wester Blvd, Pingree Grove, IL 60140","(847) 464-4300","Charter","K - 12","Not Applicable","https://www.incschools.org/school/cambridge-lakes-charter-school/"
"Catalyst - Circle Rock","5608 W Washington Blvd, Chicago, IL 60644","(773) 945-5025","Charter","K - 8","Level 2+","https://www.incschools.org/school/catalyst-circle-rock/"
"Catalyst - Maria Charter School","6727 S California Ave, Chicago, IL 60629","(773) 993-1770","Charter","K - 12","Level 1","https://www.incschools.org/school/catalyst-maria-charter-school/"
"Chicago Collegiate Charter School","11816 S Indiana Ave, Chicago, IL 60628","(773) 536-9098","Charter","4 - 11","Level 2","https://www.incschools.org/school/chicago-collegiate-charter-school/"
"Chicago International Charter School (CICS) - Avalon / South Shore","1501 E 83Rd Pl, Chicago, IL 60619","(773) 721-0858","Charter","K - 8","Level 2+","https://www.incschools.org/school/chicago-international-charter-school-cics-avalon-south-shore/"
"Chicago International Charter School (CICS) - Basil","1816 W Garfield Blvd, Chicago, IL 60609","(773) 778-9455","Charter","K - 8","Level 2+","https://www.incschools.org/school/chicago-international-charter-school-cics-basil/"
"Chicago International Charter School (CICS) - Bucktown","2235 N Hamilton Ave, Chicago, IL 60647","(773) 645-3321","Charter","K - 8","Level 1+","https://www.incschools.org/school/chicago-international-charter-school-cics-bucktown/"
"Chicago International Charter School (CICS) - Chicago Quest North","1443 N Ogden Ave, Chicago, IL 60610","(773) 565-2100","Charter","9 - 12","Level 2","https://www.incschools.org/school/chicago-international-charter-school-cics-chicago-quest-north/"
"Chicago International Charter School (CICS) - Irving Park","3820 N Spaulding Ave, Chicago, IL 60618","(773) 433-5000","Charter","K - 8","Level 1+","https://www.incschools.org/school/chicago-international-charter-school-cics-irving-park/"
"Chicago International Charter School (CICS) - Lloyd Bond","13300 S Langley Ave, Chicago, IL 60827","(773) 468-1300","Charter","K - 6","Level 2+","https://www.incschools.org/school/chicago-international-charter-school-cics-lloyd-bond/"
"Chicago International Charter School (CICS) - Longwood","1309 W 95Th St, Chicago, IL 60643","(773) 238-5330","Charter","3 - 12","Level 2","https://www.incschools.org/school/chicago-international-charter-school-cics-longwood/"
"Chicago International Charter School (CICS) - Loomis Primary","9535 S Loomis St, Chicago, IL 60643","(773) 429-8955","Charter","K - 2","Inability to Rate","https://www.incschools.org/school/chicago-international-charter-school-cics-loomis-primary/"
"Chicago International Charter School (CICS) - Northtown Academy","3900 W Peterson Ave, Chicago, IL 60659","(773) 478-3655","Charter","9 - 12","Level 1","https://www.incschools.org/school/chicago-international-charter-school-cics-northtown/"
"Chicago International Charter School (CICS) - Prairie","11530 S Prairie Ave, Chicago, IL 60628","(773) 928-0480","Charter","K - 8","Level 2","https://www.incschools.org/school/chicago-international-charter-school-cics-prairie/"
"Chicago International Charter School (CICS) - Ralph Ellison","1817 W 80Th St, Chicago, IL 60620","(773) 478-4434","Charter","9 - 12","Level 2","https://www.incschools.org/school/chicago-international-charter-school-cics-ralph-ellison/"
"Chicago International Charter School (CICS) - Washington Park","110 E 61St St, Chicago, IL 60637","(773) 347-0200","Charter","K - 8","Level 2+","https://www.incschools.org/school/chicago-international-charter-school-cics-washington-park/"
"Chicago International Charter School (CICS) - West Belden","2245 N Mcvicker Ave, Chicago, IL 60639","(773) 637-9430","Charter","K - 8","Level 1+","https://www.incschools.org/school/chicago-international-charter-school-cics-west-belden/"
"Chicago International Charter School (CICS) - Wrightwood","8130 S California Ave, Chicago, IL 60652","(773) 434-4575","Charter","K - 8","Level 2+","https://www.incschools.org/school/chicago-international-charter-school-cics-wrightwood/"
"Chicago Math and Science Academy","7212 N Clark St, Chicago, IL 60626","(773) 761-8960","Charter","6 - 12","Level 1","https://www.incschools.org/school/chicago-math-and-science-academy/"
"Christopher House Charter School","5235 W Belden Ave, Chicago, IL 60639","(773) 922-7542","Charter","PK - 7","Level 1","https://www.incschools.org/school/christopher-house-charter-school/"
"Elgin Math and Science Academy Charter School","1600 Dundee Ave, Elgin, IL 60120","(630) 883-5013","Charter","K - 3","Not Applicable","https://www.incschools.org/school/elgin-math-and-science-academy-charter-school/"
"EPIC Academy","8255 S Houston Ave, Chicago, IL 60617","(773) 535-7930","Charter","9 - 12","Level 2+","https://www.incschools.org/school/epic-academy/"
"Erie Charter School","1405 N Washtenaw Ave, Chicago, IL 60622","(773) 486-7161","Charter","K - 8","Level 1","https://www.incschools.org/school/erie-charter-school/"
"Galapagos Rockford Charter School","2605 School St, Rockford, IL 61101","(815) 708-7946","Charter","K - 8","Not Applicable","https://www.incschools.org/school/galapagos-rockford-charter-school/"
"Great Lakes Academy Charter School","8401 S Saginaw Ave, Chicago, IL 60617","(773) 530-3040","Charter","K - 7","","https://www.incschools.org/school/great-lakes-academy-charter-school/"
"Horizon Science Academy - Belmont Charter School","2456 N Mango Ave, Chicago, IL 60639","(773) 237-2702","Charter","K - 8","Not Applicable","https://www.incschools.org/school/horizon-science-academy-belmont-charter-school/"
"Horizon Science Academy - McKinley Park Charter School","2245 W Pershing Rd, Chicago, IL 60609","(773) 247-8400","Charter","K - 12","Not Applicable","https://www.incschools.org/school/horizon-science-academy-mckinley-park-charter-school/"
"Horizon Science Academy - Southwest Chicago Charter School","5401 S. Western, Chicago, IL 60609","(773) 498-3355","Charter","K - 12","Level 2","https://www.incschools.org/school/horizon-science-academy-southwest-chicago-charter-school/"
"Instituto Health Sciences Career Academy","2520 S Western Ave, Chicago, IL 60608","(773) 890-8020","Charter","9 - 12","Level 2","https://www.incschools.org/school/instituto-health-sciences-career-academy-high-school/"
"Instituto Justice and Leadership Academy","2570 S Blue Island Ave, Chicago, IL 60608","(773) 890-8060","Charter","9 - 12","Level 2+","https://www.incschools.org/school/instituto-justice-and-leadership-academy-charter-school-rudylozano-campus/"
"Intrinsic II Downtown Campus","79 W Monroe St, Chicago, IL 60603","","Charter","9 - 12","Not Applicable","https://www.incschools.org/school/intrinsic-ii-downtown-campus/"
"Intrinsic Schools","4540 W Belmont Ave, Chicago, IL 60641","(708) 887-2735","Charter","7 - 12","Level 1","https://www.incschools.org/school/intrinsic-schools/"
"Jackson Charter School","315 Summit St, Rockford, IL 61107","(815) 316-0093","Charter","K - 8","Not Applicable","https://www.incschools.org/school/jackson-charter-school/"
"KIPP Academy","4818 W Ohio St, Chicago, IL 60644","(773) 938-8553","Charter","K - 8","Level 1+","https://www.incschools.org/school/kipp-academy/"
"KIPP Ascend Charter School","1616 S Avers Ave, Chicago, IL 60623","(773) 521-4399","Charter","K - 8","Level 1","https://www.incschools.org/school/kipp-ascend-charter-school/"
"KIPP Bloom College Prep","5515 S Lowe Ave, Chicago, IL 60621","(773) 938-8565","Charter","K - 8","Level 1+","https://www.incschools.org/school/kipp-bloom-college-prep/"
"KIPP One Academy","730 N Pulaski Rd, Chicago, IL 60624","(773) 938-8578","Charter","K - 7","Level 1+","https://www.incschools.org/school/kipp-one-academy/"
"LEARN 10 in North Chicago","1811 Morrow Ave, North Chicago, IL 60064","(847) 693-5021","Charter","K - 5","Not Applicable","https://www.incschools.org/school/learn-10-in-north-chicago/"
"LEARN 6 in North Chicago","3131 Sheridan Rd, Great Lakes, IL 60088","(847) 473-3845","Charter","K - 8","Not Applicable","https://www.incschools.org/school/learn-6-in-north-chicago/"
"LEARN 7 Elementary School","3021 W Carroll Ave, Chicago, IL 60612","(773) 584-4300","Charter","K - 5","Level 2","https://www.incschools.org/school/learn-7-elementary-school/"
"LEARN 8 Middle School","3021 W Carroll Ave, Chicago, IL 60612","(773) 584-4300","Charter","6 - 8","Level 2+","https://www.incschools.org/school/learn-8-middle-school/"
"LEARN 9 in Waukegan","1200 W Glen Flora Ave, Waukegan, IL 60085","(847) 377-0690","Charter","K - 6","Not Applicable","https://www.incschools.org/school/learn-9-in-waukegan/"
"LEARN Campbell","212 S Francisco Ave, Chicago, IL 60612","(773) 826-0370","Charter","K - 6","Level 1+","https://www.incschools.org/school/learn-campbell/"
"LEARN Excel","3021 W Carroll Ave, Chicago, IL 60612","(773) 584-4399","Charter","K - 6","Level 1","https://www.incschools.org/school/learn-excel/"
"LEARN Hunter Perkins","1700 W 83Rd St, Chicago, IL 60620","(773) 488-1634","Charter","K - 7","Level 1+","https://www.incschools.org/school/learn-hunter-perkins/"
"LEARN Romano Butler","1132 S Homan Ave, Chicago, IL 60624","(773) 722-0200","Charter","K - 8","Level 2","https://www.incschools.org/school/learn-romano-butler/"
